"a","b"
"http://pl.dbpedia.org/resource/Eliza_Orzeszkowa","http://pl.dbpedia.org/resource/Nad_Niemnem"
"http://pl.dbpedia.org/resource/Christopher_Tolkien","http://pl.dbpedia.org/resource/Niedokończone_opowieści"
"http://pl.dbpedia.org/resource/John_Ronald_Reuel_Tolkien","http://pl.dbpedia.org/resource/Niedokończone_opowieści"
"http://pl.dbpedia.org/resource/Benedykt_Chmielowski","http://pl.dbpedia.org/resource/Nowe_Ateny"
"http://pl.dbpedia.org/resource/Aldous_Huxley","http://pl.dbpedia.org/resource/Nowy_wspaniały_świat"
"http://pl.dbpedia.org/resource/Henryk_Sienkiewicz","http://pl.dbpedia.org/resource/Ogniem_i_mieczem"
"http://pl.dbpedia.org/resource/Honoré_de_Balzac","http://pl.dbpedia.org/resource/Ojciec_Goriot"
"http://pl.dbpedia.org/resource/Franz_Kafka","http://pl.dbpedia.org/resource/Proces_(powieść)"
"http://pl.dbpedia.org/resource/Jan_Kochanowski","http://pl.dbpedia.org/resource/Psałterz_Dawidów"
"http://pl.dbpedia.org/resource/Henryk_Sienkiewicz","http://pl.dbpedia.org/resource/Quo_vadis"
"http://pl.dbpedia.org/resource/William_Szekspir","http://pl.dbpedia.org/resource/Romeo_i_Julia"
"http://pl.dbpedia.org/resource/John_Ronald_Reuel_Tolkien","http://pl.dbpedia.org/resource/Silmarillion"
"http://pl.dbpedia.org/resource/Stanisław_Lem","http://pl.dbpedia.org/resource/Solaris_(powieść)"
"http://pl.dbpedia.org/resource/John_Ronald_Reuel_Tolkien","http://pl.dbpedia.org/resource/Władca_Pierścieni"
"http://pl.dbpedia.org/resource/Howard_Phillips_Lovecraft","http://pl.dbpedia.org/resource/Zew_Cthulhu_(opowiadanie)"
"http://pl.dbpedia.org/resource/Karol_Olgierd_Borchardt","http://pl.dbpedia.org/resource/Znaczy_Kapitan"
"http://pl.dbpedia.org/resource/Lew_Tołstoj","http://pl.dbpedia.org/resource/Anna_Karenina"
"http://pl.dbpedia.org/resource/Boris_Akunin","http://pl.dbpedia.org/resource/Azazel_(powieść)"
"http://pl.dbpedia.org/resource/Stanisław_Lem","http://pl.dbpedia.org/resource/Bezsenność_(zbiór_opowiadań)"
"http://pl.dbpedia.org/resource/Janusz_Zajdel","http://pl.dbpedia.org/resource/Cała_prawda_o_planecie_Ksi"
"http://pl.dbpedia.org/resource/Boris_Akunin","http://pl.dbpedia.org/resource/Dekorator"
"http://pl.dbpedia.org/resource/Boris_Akunin","http://pl.dbpedia.org/resource/Diamentowa_karoca"
"http://pl.dbpedia.org/resource/Jan_Paweł_II","http://pl.dbpedia.org/resource/Dives_in_misericordia"
"http://pl.dbpedia.org/resource/George_Orwell","http://pl.dbpedia.org/resource/Droga_na_molo_w_Wigan"
"http://pl.dbpedia.org/resource/Isaac_Asimov","http://pl.dbpedia.org/resource/Druga_Fundacja"
"http://pl.dbpedia.org/resource/Ilja_Ilf","http://pl.dbpedia.org/resource/Dwanaście_krzeseł"
"http://pl.dbpedia.org/resource/Jewgienij_Pietrow_(pisarz)","http://pl.dbpedia.org/resource/Dwanaście_krzeseł"
"http://pl.dbpedia.org/resource/Isaac_Asimov","http://pl.dbpedia.org/resource/Fundacja_(powieść)"
"http://pl.dbpedia.org/resource/Isaac_Asimov","http://pl.dbpedia.org/resource/Fundacja_i_Imperium"
"http://pl.dbpedia.org/resource/Boris_Akunin","http://pl.dbpedia.org/resource/Gambit_turecki"
"http://pl.dbpedia.org/resource/Stanisław_Lem","http://pl.dbpedia.org/resource/Głos_Pana"
"http://pl.dbpedia.org/resource/Gabriela_Zapolska","http://pl.dbpedia.org/resource/Ich_czworo"
"http://pl.dbpedia.org/resource/Stanisław_Lem","http://pl.dbpedia.org/resource/Inwazja_z_Aldebarana_(zbiór_opowiadań)"
"http://pl.dbpedia.org/resource/Jeffery_Deaver","http://pl.dbpedia.org/resource/Kamienna_małpa"
"http://pl.dbpedia.org/resource/Stanisław_Lem","http://pl.dbpedia.org/resource/Katar_(powieść)"
"http://pl.dbpedia.org/resource/Boris_Akunin","http://pl.dbpedia.org/resource/Kochanek_Śmierci"
"http://pl.dbpedia.org/resource/Boris_Akunin","http://pl.dbpedia.org/resource/Kochanka_Śmierci"
"http://pl.dbpedia.org/resource/Boris_Akunin","http://pl.dbpedia.org/resource/Koronacja_(powieść)"
"http://pl.dbpedia.org/resource/Terry_Pratchett","http://pl.dbpedia.org/resource/Kot_w_stanie_czystym"
"http://pl.dbpedia.org/resource/Clive_Staples_Lewis","http://pl.dbpedia.org/resource/Koń_i_jego_chłopiec"
"http://pl.dbpedia.org/resource/Stanisław_Lem","http://pl.dbpedia.org/resource/Księga_robotów"
"http://pl.dbpedia.org/resource/Adam_Mickiewicz","http://pl.dbpedia.org/resource/Księgi_narodu_polskiego_i_pielgrzymstwa_polskiego"
"http://pl.dbpedia.org/resource/Andrzej_Pilipiuk","http://pl.dbpedia.org/resource/Kuzynki"
"http://pl.dbpedia.org/resource/Ursula_K._Le_Guin","http://pl.dbpedia.org/resource/Lewa_ręka_ciemności"
"http://pl.dbpedia.org/resource/Boris_Akunin","http://pl.dbpedia.org/resource/Lewiatan_(powieść)"
"http://pl.dbpedia.org/resource/Jeffery_Deaver","http://pl.dbpedia.org/resource/Mag_(powieść_J._Deavera)"
"http://pl.dbpedia.org/resource/Stanisław_Lem","http://pl.dbpedia.org/resource/Maska_(zbiór_dzieł)"
"http://pl.dbpedia.org/resource/Stanisław_Lem","http://pl.dbpedia.org/resource/Niezwyciężony_i_inne_opowiadania"
"http://pl.dbpedia.org/resource/Stanisław_Lem","http://pl.dbpedia.org/resource/Noc_księżycowa"
"http://pl.dbpedia.org/resource/Iwan_Turgieniew","http://pl.dbpedia.org/resource/Ojcowie_i_dzieci"
"http://pl.dbpedia.org/resource/Stanisław_Lem","http://pl.dbpedia.org/resource/Pamiętnik_znaleziony_w_wannie"
"http://pl.dbpedia.org/resource/George_R._R._Martin","http://pl.dbpedia.org/resource/Pieśń_Lodu_i_Ognia"
"http://pl.dbpedia.org/resource/Ryszard_Kapuściński","http://pl.dbpedia.org/resource/Podróże_z_Herodotem"
"http://pl.dbpedia.org/resource/Stanisław_Lem","http://pl.dbpedia.org/resource/Polowanie_(zbiór_opowiadań)"
"http://pl.dbpedia.org/resource/Stanisław_Lem","http://pl.dbpedia.org/resource/Powtórka_(zbiór_dzieł)"
"http://pl.dbpedia.org/resource/Stanisław_Lem","http://pl.dbpedia.org/resource/Pożytek_ze_smoka"
"http://pl.dbpedia.org/resource/Isaac_Asimov","http://pl.dbpedia.org/resource/Preludium_Fundacji"
"http://pl.dbpedia.org/resource/Boris_Akunin","http://pl.dbpedia.org/resource/Radca_stanu_(powieść)"
"http://pl.dbpedia.org/resource/Stanisław_Lem","http://pl.dbpedia.org/resource/Rasa_drapieżców._Teksty_ostatnie"
"http://pl.dbpedia.org/resource/Lucy_Maud_Montgomery","http://pl.dbpedia.org/resource/Rilla_ze_Złotego_Brzegu"
"http://pl.dbpedia.org/resource/William_Szekspir","http://pl.dbpedia.org/resource/Sen_nocy_letniej"
"http://pl.dbpedia.org/resource/Stanisław_Lem","http://pl.dbpedia.org/resource/Sezam_i_inne_opowiadania"
"http://pl.dbpedia.org/resource/Jan_Paweł_II","http://pl.dbpedia.org/resource/Slavorum_apostoli"
"http://pl.dbpedia.org/resource/Stanisław_Lem","http://pl.dbpedia.org/resource/Summa_technologiae"
"http://pl.dbpedia.org/resource/Dorota_Terakowska","http://pl.dbpedia.org/resource/Tam_gdzie_spadają_anioły"
"http://pl.dbpedia.org/resource/Alfred_Szklarski","http://pl.dbpedia.org/resource/Tomek_u_źródeł_Amazonki"
"http://pl.dbpedia.org/resource/Alfred_Szklarski","http://pl.dbpedia.org/resource/Tomek_w_Gran_Chaco"
"http://pl.dbpedia.org/resource/Alfred_Szklarski","http://pl.dbpedia.org/resource/Tomek_w_grobowcach_faraonów"
"http://pl.dbpedia.org/resource/Adam_Zelga","http://pl.dbpedia.org/resource/Tomek_w_grobowcach_faraonów"
"http://pl.dbpedia.org/resource/Jan_Paweł_II","http://pl.dbpedia.org/resource/Ut_unum_sint"
"http://pl.dbpedia.org/resource/Jan_Paweł_II","http://pl.dbpedia.org/resource/Veritatis_splendor"
"http://pl.dbpedia.org/resource/Rafał_A._Ziemkiewicz","http://pl.dbpedia.org/resource/Walc_stulecia"
"http://pl.dbpedia.org/resource/Boris_Akunin","http://pl.dbpedia.org/resource/Walet_pikowy_(powieść)"
"http://pl.dbpedia.org/resource/Anne_Rice","http://pl.dbpedia.org/resource/Wampir_Lestat"
"http://pl.dbpedia.org/resource/Stanisław_Lem","http://pl.dbpedia.org/resource/Wizja_lokalna_(powieść)"
"http://pl.dbpedia.org/resource/Lew_Tołstoj","http://pl.dbpedia.org/resource/Wojna_i_pokój"
"http://pl.dbpedia.org/resource/Boris_Akunin","http://pl.dbpedia.org/resource/Śmierć_Achillesa"
"http://pl.dbpedia.org/resource/Aleksander_Majkowski","http://pl.dbpedia.org/resource/Życie_i_przygody_Remusa"
"http://pl.dbpedia.org/resource/Ian_Fleming","http://pl.dbpedia.org/resource/Casino_Royale_(powieść)"
"http://pl.dbpedia.org/resource/Gene_Wolfe","http://pl.dbpedia.org/resource/Cień_kata"
"http://pl.dbpedia.org/resource/Ursula_K._Le_Guin","http://pl.dbpedia.org/resource/Czarnoksiężnik_z_Archipelagu"
"http://pl.dbpedia.org/resource/Paulo_Coelho","http://pl.dbpedia.org/resource/Czarownica_z_Portobello"
"http://pl.dbpedia.org/resource/Tom_Clancy","http://pl.dbpedia.org/resource/Czas_patriotów_(powieść)"
